source,target
Personal Expense Tracker,متتبع المصاريف الشخصية
Personal Expenses,المصاريف الشخصية
Expense Tracking,تتبع المصاريف
Expense User,مستخدم المصاريف
Expense Manager,مدير المصاريف
Workspace,مساحة العمل
Website Dashboard,لوحة الموقع
Masters,البيانات الأساسية
Transactions,المعاملات
Reports,التقارير
Dashboard,لوحة المعلومات
Expense overview,نظرة عامة على المصاريف
Expense Category,فئة المصروف
Expense Entry,قيد مصروف
Currency Exchange Rate,سعر صرف العملة
Monthly Budget,الميزانية الشهرية
Budget Period,فترة الميزانية
Period Name,اسم الفترة
Status,الحالة
Open,مفتوحة
Closed,مغلقة
Is Opening Period,فترة افتتاحية
Auto Created,منشأة تلقائياً
Category Name,اسم الفئة
Parent Category,الفئة الأب
Is Active,نشط
Description,الوصف
Posting Date,تاريخ القيد
User,المستخدم
Category,الفئة
Currency Details,تفاصيل العملة
Amount,المبلغ
Currency,العملة
Exchange Rate to Base,سعر الصرف إلى العملة الأساسية
Base Currency,العملة الأساسية
Amount in Base Currency,المبلغ بالعملة الأساسية
Payment Details,تفاصيل الدفع
Payment Method,طريقة الدفع
Reference No,رقم المرجع
Attachment,المرفق
Notes,ملاحظات
From Currency,من عملة
To Currency,إلى عملة
Exchange Rate,سعر الصرف
Effective Date,تاريخ السريان
Source,المصدر
Month,الشهر
Year,السنة
Budget Amount,مبلغ الميزانية
Budget in Base Currency,الميزانية بالعملة الأساسية
Budget in Base Currency (SYP),الميزانية بالعملة الأساسية (ليرة سورية)
Cash,نقداً
Bank Transfer,حوالة مصرفية
Card,بطاقة
Wallet,محفظة
Other,أخرى
January,يناير
February,فبراير
March,مارس
April,أبريل
May,مايو
June,يونيو
July,يوليو
August,أغسطس
September,سبتمبر
October,أكتوبر
November,نوفمبر
December,ديسمبر
Food,طعام
Transport,مواصلات
Rent,إيجار
Utilities,خدمات
Health,صحة
Education,تعليم
Entertainment,ترفيه
Shopping,تسوق
Family,العائلة
Housing Rent,إيجار السكن
Groceries & Meals,المواد الغذائية والوجبات
Clothing & Personal Items,الملابس والأغراض الشخصية
Vehicle & Fuel,السيارة والوقود
Public Transport,المواصلات العامة
Household Support,دعم المنزل
Gifts & Social Obligations,الهدايا والالتزامات الاجتماعية
Charity & Religious Giving,الزكاة والتبرعات
Visits & Hospitality,الزيارات والضيافة
Tobacco & Shisha,التبغ والأركيلة
Miscellaneous,المتفرقات
Car Expenses,مصاريف السيارة
Smoking,التدخين
Home rent and housing lease payments.,إيجار المنزل ومدفوعات السكن.
"Groceries, meals, snacks, drinks, and household food.",مواد غذائية ووجبات ومشروبات وطعام المنزل.
"Clothes, shoes, accessories, and personal shopping.",ملابس وأحذية وإكسسوارات ومشتريات شخصية.
"Fuel, vehicle maintenance, and personal car expenses.",وقود وصيانة ومصاريف السيارة الشخصية.
"Public transport, taxis, buses, and shared rides.",مواصلات عامة وتكاسي وباصات وتنقلات مشتركة.
"Household help, family support, and recurring home support payments.",مساعدة منزلية ودعم عائلي ومدفوعات دعم منزلية متكررة.
"Gifts, Eid money, social occasions, and family obligations.",هدايا وعيديات ومناسبات اجتماعية والتزامات عائلية.
"Zakat, charity, donations, and religious giving.",زكاة وصدقات وتبرعات وعطاء ديني.
"Hospitality items for visits, guests, sweets, and hosted occasions.",مستلزمات ضيافة للزيارات والضيوف والحلويات والمناسبات المستضافة.
"Cigarettes, shisha, tobacco, charcoal, and related items.",سجائر وأركيلة وتبغ وفحم ومستلزمات مرتبطة.
"Electricity, water, gas, internet, and household services.",كهرباء وماء وغاز وإنترنت وخدمات منزلية.
"Healthcare, medicine, pharmacy, doctor visits, and treatment.",رعاية صحية ودواء وصيدلية وزيارات طبيب وعلاج.
"Courses, school, books, learning, and education fees.",دورات ومدرسة وكتب وتعلم ورسوم تعليمية.
"Entertainment, leisure, outings, movies, and recreation.",ترفيه وراحة ومشاوير وأفلام ونشاطات ترفيهية.
Money intentionally set aside and not treated as spending.,مال يتم تخصيصه للادخار ولا يعامل كمصروف.
Rare uncategorized expenses that do not fit another category.,مصاريف نادرة غير مصنفة ولا تناسب فئة أخرى.
Monthly Expense Summary,ملخص المصاريف الشهري
Category Expense Summary,ملخص المصاريف حسب الفئة
Currency Exposure Report,تقرير التعرض للعملات
Expense Entry Summary,ملخص قيود المصاريف
From Date,من تاريخ
To Date,إلى تاريخ
